date,product_id,category,revenue,units
2024-01-01,P001,Electronics,1500.00,3
2024-01-01,P002,Electronics,2100.00,4
2024-01-01,P003,Clothing,450.00,9
2024-01-01,P004,Clothing,320.00,5
2024-01-01,P005,Appliances,780.00,2
2024-01-01,P006,Appliances,560.00,1
2024-01-03,P001,Electronics,1800.00,4
2024-01-03,P002,Electronics,1950.00,3
2024-01-03,P003,Clothing,510.00,10
2024-01-03,P004,Clothing,290.00,4
2024-01-03,P005,Appliances,820.00,2
2024-01-03,P006,Appliances,640.00,1
2024-01-07,P001,Electronics,2200.00,5
2024-01-07,P002,Electronics,1700.00,3
2024-01-07,P003,Clothing,480.00,8
2024-01-07,P004,Clothing,350.00,6
2024-01-07,P005,Appliances,900.00,2
2024-01-07,P006,Appliances,610.00,1
2024-01-14,P001,Electronics,1600.00,3
2024-01-14,P002,Electronics,2400.00,5
2024-01-14,P003,Clothing,520.00,9
2024-01-14,P004,Clothing,310.00,5
2024-01-14,P005,Appliances,850.00,2
2024-01-14,P006,Appliances,590.00,1
2024-01-21,P001,Electronics,1900.00,4
2024-01-21,P002,Electronics,2050.00,4
2024-01-21,P003,Clothing,490.00,9
2024-01-21,P004,Clothing,330.00,5
2024-01-21,P005,Appliances,870.00,2
2024-01-21,P006,Appliances,630.00,1
2024-01-28,P001,Electronics,2300.00,5
2024-01-28,P002,Electronics,1850.00,4
2024-01-28,P003,Clothing,540.00,10
2024-01-28,P004,Clothing,360.00,6
2024-01-28,P005,Appliances,920.00,2
2024-01-28,P006,Appliances,650.00,1
2024-02-04,P001,Electronics,1750.00,4
2024-02-04,P002,Electronics,2150.00,4
2024-02-04,P003,Clothing,500.00,9
2024-02-04,P004,Clothing,340.00,6
2024-02-04,P005,Appliances,840.00,2
2024-02-04,P006,Appliances,600.00,1
2024-02-11,P001,Electronics,2000.00,4
2024-02-11,P002,Electronics,2300.00,5
2024-02-11,P003,Clothing,460.00,8
2024-02-11,P004,Clothing,300.00,5
2024-02-11,P005,Appliances,810.00,2
2024-02-11,P006,Appliances,580.00,1
2024-02-18,P001,Electronics,1850.00,4
2024-02-18,P002,Electronics,1980.00,4
2024-02-18,P003,Clothing,530.00,10
2024-02-18,P004,Clothing,370.00,6
2024-02-18,P005,Appliances,890.00,2
2024-02-18,P006,Appliances,660.00,1
2024-02-25,P001,Electronics,2100.00,5
2024-02-25,P002,Electronics,2250.00,5
2024-02-25,P003,Clothing,510.00,9
2024-02-25,P004,Clothing,345.00,6
2024-02-25,P005,Appliances,860.00,2
2024-02-25,P006,Appliances,620.00,1
2024-03-04,P001,Electronics,1950.00,4
2024-03-04,P002,Electronics,2350.00,5
2024-03-04,P003,Clothing,470.00,8
2024-03-04,P004,Clothing,315.00,5
2024-03-04,P005,Appliances,830.00,2
2024-03-04,P006,Appliances,595.00,1
2024-03-11,P001,Electronics,2250.00,5
2024-03-11,P002,Electronics,2100.00,4
2024-03-11,P003,Clothing,550.00,10
2024-03-11,P004,Clothing,380.00,6
2024-03-11,P005,Appliances,910.00,2
2024-03-11,P006,Appliances,670.00,1
2024-03-18,P001,Electronics,2050.00,4
2024-03-18,P002,Electronics,1900.00,4
2024-03-18,P003,Clothing,480.00,9
2024-03-18,P004,Clothing,325.00,5
2024-03-18,P005,Appliances,880.00,2
2024-03-18,P006,Appliances,645.00,1
2024-03-25,P001,Electronics,2400.00,5
2024-03-25,P002,Electronics,2180.00,4
2024-03-25,P003,Clothing,560.00,10
2024-03-25,P004,Clothing,390.00,6
2024-03-25,P005,Appliances,940.00,2
2024-03-25,P006,Appliances,680.00,1
