metric,FY2020A,FY2021A,FY2022A,FY2023A,FY2024A,source
company_name,CloudPeak Technologies,,,,
ticker,CPTECH,,,,
fiscal_year_end,December 31,,,,
reporting_currency,USD,,,,
units,Millions,,,,
revenue,142.3,188.7,251.9,328.4,412.6,Annual Reports FY2020-FY2024
revenue_growth_yoy_pct,NA,32.6,33.5,30.4,25.6,Calculated
gross_profit,99.6,135.9,187.4,252.9,322.6,Annual Reports FY2020-FY2024
gross_margin_pct,70.0,72.0,74.4,77.0,78.2,Calculated
r_and_d_expense,28.5,38.9,52.4,68.1,85.8,Annual Reports FY2020-FY2024
r_and_d_pct_revenue,20.0,20.6,20.8,20.7,20.8,Calculated
s_and_m_expense,49.8,68.2,92.0,118.1,139.5,Annual Reports FY2020-FY2024
s_and_m_pct_revenue,35.0,36.2,36.5,36.0,33.8,Calculated
g_and_a_expense,14.2,18.9,25.2,30.4,35.1,Annual Reports FY2020-FY2024
g_and_a_pct_revenue,10.0,10.0,10.0,9.3,8.5,Calculated
ebit,7.1,9.9,17.8,36.3,62.2,Calculated (GP - R&D - S&M - G&A)
ebit_margin_pct,5.0,5.2,7.1,11.0,15.1,Calculated
ebitda_adj,14.2,20.5,30.2,52.1,87.4,Annual Reports (EBIT + D&A + SBC adjustment)
ebitda_margin_pct,10.0,10.8,12.0,15.9,21.2,Calculated
da_expense,4.3,5.7,7.6,9.8,13.2,Annual Reports FY2020-FY2024
capex,7.1,10.3,14.6,19.1,23.9,Annual Reports FY2020-FY2024
capex_pct_revenue,5.0,5.4,5.8,5.8,5.8,Calculated
free_cash_flow,2.1,4.8,10.2,24.8,54.7,CFO - CapEx from Annual Reports
nwc_change,1.8,3.2,4.8,6.1,7.8,Annual Reports FY2020-FY2024
shares_diluted_m,98.5,99.8,101.2,102.4,103.1,Annual Reports FY2020-FY2024
cash_and_equivalents,28.4,42.1,62.3,91.7,148.2,Balance Sheet as of Dec 31
total_debt,0.0,0.0,0.0,0.0,0.0,Balance Sheet (no debt as of FY2024)
arr_usd_m,180.5,244.2,328.6,435.1,542.8,Supplemental disclosure
ndr_pct,112,116,118,121,124,Supplemental disclosure
customers_over_100k,285,398,541,712,918,Supplemental disclosure
current_stock_price,67.45,,,,Market data as of Nov 14 2025
beta_5yr_monthly,1.28,,,,Bloomberg Nov 14 2025
risk_free_rate_10yr_treasury,4.42,,,,US Treasury Nov 14 2025
equity_risk_premium,5.5,,,,Damodaran 2025
credit_rating,NA,,,,No rated debt; net cash position
